2014-12-09 23:20:32.258 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 67, moves: 10 Player 2: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 71, moves: 11, winner:2
2014-12-09 23:20:34.893 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 59, moves: 23 Player 2: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 738, moves: 24, winner:0
2014-12-09 23:20:35.385 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 59, moves: 13 Player 2: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 19234, moves: 14, winner:2
2014-12-09 23:20:41.218 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 61, moves: 12 Player 2: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 445198, moves: 13, winner:2
2014-12-09 23:21:37.235 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 55, moves: 10 Player 2: searchType: 1, heuristic: 0, searchDepth: 5, average Time: 5088471, moves: 11, winner:2
2014-12-09 23:21:37.261 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 32, moves: 4 Player 2: searchType: 1, heuristic: 1, searchDepth: 1, average Time: 110, moves: 5, winner:2
2014-12-09 23:21:37.307 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 38, moves: 9 Player 2: searchType: 1, heuristic: 1, searchDepth: 2, average Time: 1370, moves: 9, winner:1
2014-12-09 23:21:37.512 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 39, moves: 9 Player 2: searchType: 1, heuristic: 1, searchDepth: 3, average Time: 17520, moves: 9, winner:1
2014-12-09 23:21:39.772 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 38, moves: 9 Player 2: searchType: 1, heuristic: 1, searchDepth: 4, average Time: 246512, moves: 9, winner:1
2014-12-09 23:22:14.274 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 41, moves: 9 Player 2: searchType: 1, heuristic: 1, searchDepth: 5, average Time: 3829393, moves: 9, winner:1
2014-12-09 23:22:14.311 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 43, moves: 9 Player 2: searchType: 1, heuristic: 2, searchDepth: 1, average Time: 103, moves: 10, winner:2
2014-12-09 23:22:14.344 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 39, moves: 5 Player 2: searchType: 1, heuristic: 2, searchDepth: 2, average Time: 1022, moves: 6, winner:2
2014-12-09 23:22:14.801 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 45, moves: 18 Player 2: searchType: 1, heuristic: 2, searchDepth: 3, average Time: 21954, moves: 18, winner:1
2014-12-09 23:22:16.595 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 42, moves: 6 Player 2: searchType: 1, heuristic: 2, searchDepth: 4, average Time: 251872, moves: 7, winner:2
2014-12-09 23:24:14.046 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 50, moves: 15 Player 2: searchType: 1, heuristic: 2, searchDepth: 5, average Time: 7324617, moves: 16, winner:2
2014-12-09 23:24:15.580 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 70, moves: 10 Player 2: searchType: 2, heuristic: 0, searchDepth: 1, average Time: 91, moves: 11, winner:2
2014-12-09 23:24:17.981 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 61, moves: 23 Player 2: searchType: 2, heuristic: 0, searchDepth: 2, average Time: 683, moves: 24, winner:0
2014-12-09 23:24:20.515 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 58, moves: 23 Player 2: searchType: 2, heuristic: 0, searchDepth: 3, average Time: 8820, moves: 24, winner:0
2014-12-09 23:24:22.598 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 54, moves: 10 Player 2: searchType: 2, heuristic: 0, searchDepth: 4, average Time: 55652, moves: 11, winner:2
2014-12-09 23:24:24.549 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 44, moves: 5 Player 2: searchType: 2, heuristic: 0, searchDepth: 5, average Time: 132313, moves: 6, winner:2
2014-12-09 23:24:25.783 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 42, moves: 6 Player 2: searchType: 2, heuristic: 1, searchDepth: 1, average Time: 148, moves: 6, winner:1
2014-12-09 23:24:27.221 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 45, moves: 9 Player 2: searchType: 2, heuristic: 1, searchDepth: 2, average Time: 1490, moves: 9, winner:1
2014-12-09 23:24:28.784 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 46, moves: 9 Player 2: searchType: 2, heuristic: 1, searchDepth: 3, average Time: 14713, moves: 10, winner:2
2014-12-09 23:24:32.469 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 45, moves: 9 Player 2: searchType: 2, heuristic: 1, searchDepth: 4, average Time: 256789, moves: 9, winner:1
2014-12-09 23:25:11.148 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 51, moves: 9 Player 2: searchType: 2, heuristic: 1, searchDepth: 5, average Time: 3746267, moves: 10, winner:2
2014-12-09 23:25:12.632 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 50, moves: 9 Player 2: searchType: 2, heuristic: 2, searchDepth: 1, average Time: 131, moves: 10, winner:2
2014-12-09 23:25:13.153 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 42, moves: 5 Player 2: searchType: 2, heuristic: 2, searchDepth: 2, average Time: 820, moves: 6, winner:2
2014-12-09 23:25:13.519 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 47, moves: 18 Player 2: searchType: 2, heuristic: 2, searchDepth: 3, average Time: 15426, moves: 18, winner:1
2014-12-09 23:25:14.507 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 48, moves: 6 Player 2: searchType: 2, heuristic: 2, searchDepth: 4, average Time: 133140, moves: 7, winner:2
2014-12-09 23:26:04.286 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 53, moves: 15 Player 2: searchType: 2, heuristic: 2, searchDepth: 5, average Time: 3067845, moves: 16, winner:2
2014-12-09 23:26:04.365 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 679, moves: 23 Player 2: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 46, moves: 24, winner:0
2014-12-09 23:26:04.460 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 678, moves: 23 Player 2: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 630, moves: 24, winner:0
2014-12-09 23:26:04.786 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 657, moves: 23 Player 2: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 10015, moves: 24, winner:0
2014-12-09 23:26:09.437 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 944, moves: 13 Player 2: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 327861, moves: 14, winner:2
